Month,Total NaN %,System Outage NaN %,MonoSi_Vin,MonoSi_Iin,MonoSi_Vout,MonoSi_Iout,PolySi_Vin,PolySi_Iin,PolySi_Vout,PolySi_Iout,TFSi_a_Vin,TFSi_a_Iin,TFSi_a_Vout,TFSi_a_Iout,TFcigs_Vin,TFcigs_Iin,TFcigs_Vout,TFcigs_Iout,TempF_Mono,TempF_Poly,TempF_Amor,TempF_Cigs
2020-04,0.198,0.005,0.0,0.003,0.0,0.005,0.0,0.003,0.0,0.004,0.0,0.01,0.0,0.003,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0
2022-07,0.331,0.043,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.287,0.002,0.002,0.002,0.002
2022-08,0.398,0.108,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.29,0.005,0.005,0.005,0.005
2022-05,0.425,0.115,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.316,0.006,0.006,0.006,0.006
2022-06,0.498,0.119,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.009,0.006,0.006,0.006,0.006,0.006,0.382,0.006,0.006,0.006,0.006
2022-03,0.551,0.067,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.487,0.003,0.003,0.003,0.003
2022-04,0.638,0.145,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.009,0.007,0.007,0.007,0.007,0.007,0.498,0.007,0.007,0.007,0.007
2021-09,0.666,0.046,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.008,0.002,0.003,0.002,0.003,0.002,0.614,0.002,0.002,0.002,0.002
2022-10,0.791,0.077,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.716,0.004,0.004,0.004,0.004
2021-07,0.818,0.048,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.005,0.002,0.003,0.002,0.003,0.002,0.768,0.002,0.002,0.002,0.002
2021-10,1.025,0.062,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.004,0.003,0.963,0.003,0.003,0.003,0.003
2022-02,1.099,0.08,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,1.023,0.004,0.004,0.004,0.004
2023-02,1.127,0.318,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.824,0.016,0.016,0.016,0.016
2021-08,1.177,0.467,0.023,0.024,0.023,0.024,0.023,0.024,0.023,0.024,0.023,0.033,0.023,0.024,0.023,0.024,0.023,0.721,0.023,0.023,0.023,0.023
2021-02,1.193,0.073,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,1.121,0.004,0.004,0.004,0.004
2020-11,1.199,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,1.174,0.001,0.001,0.001,0.001
2021-05,1.255,0.508,0.025,0.025,0.025,0.026,0.025,0.025,0.025,0.026,0.025,0.029,0.025,0.025,0.025,0.026,0.025,0.769,0.025,0.025,0.025,0.025
2020-10,1.5,0.146,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.007,1.359,0.007,0.007,0.007,0.007
2022-01,1.546,0.046,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,1.501,0.002,0.002,0.002,0.002
2019-10,1.575,0.825,0.041,0.044,0.041,0.046,0.041,0.044,0.041,0.048,0.041,0.055,0.041,0.043,0.041,0.042,0.041,0.758,0.041,0.041,0.041,0.041
2023-01,1.605,0.199,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.01,1.415,0.01,0.01,0.01,0.01
2021-01,1.758,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,1.734,0.001,0.001,0.001,0.001
2021-04,1.804,1.23,0.061,0.062,0.061,0.062,0.061,0.062,0.061,0.061,0.061,0.068,0.061,0.062,0.061,0.062,0.061,0.629,0.061,0.061,0.061,0.061
2020-12,2.07,0.19,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.009,0.009,0.009,0.012,0.009,1.888,0.009,0.009,0.009,0.009
2021-03,2.195,1.455,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.078,0.073,0.073,0.073,0.073,0.073,0.806,0.073,0.073,0.073,0.073
2021-12,2.261,0.571,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,1.718,0.029,0.029,0.029,0.029
2021-06,2.622,1.896,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.098,0.095,0.095,0.095,0.095,0.095,0.816,0.095,0.095,0.095,0.095
2022-12,4.73,3.409,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.171,0.17,0.17,0.17,0.17,0.17,0.171,0.17,1.491,0.17,0.17,0.17,0.17
2022-09,6.314,5.808,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.291,0.29,0.29,0.29,0.29,0.29,0.796,0.29,0.29,0.29,0.29
2023-03,6.656,6.034,0.302,0.302,0.302,0.302,0.302,0.302,0.302,0.302,0.302,0.303,0.302,0.302,0.302,0.302,0.302,0.922,0.302,0.302,0.302,0.302
2020-09,7.237,6.724,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.337,0.336,0.336,0.336,0.336,0.336,0.849,0.336,0.336,0.336,0.336
2019-11,9.798,8.67,0.433,0.434,0.433,0.434,0.433,0.433,0.433,0.434,0.433,0.434,0.433,0.433,0.433,0.435,0.433,1.56,0.433,0.433,0.433,0.433
2020-01,12.344,10.929,0.56,0.588,0.561,0.551,0.56,0.595,0.56,0.553,0.559,0.588,0.559,0.549,0.566,0.589,0.561,1.659,0.546,0.546,0.546,0.546
2020-02,17.989,17.147,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.859,0.858,0.858,0.858,0.858,0.858,1.692,0.857,0.857,0.857,0.857
2020-03,22.606,22.193,1.11,1.112,1.11,1.112,1.11,1.111,1.11,1.111,1.11,1.115,1.11,1.111,1.11,1.11,1.11,1.507,1.11,1.11,1.11,1.11
2021-11,28.438,27.367,1.368,1.368,1.368,1.368,1.368,1.368,1.368,1.368,1.368,1.37,1.368,1.368,1.368,1.369,1.368,2.437,1.368,1.368,1.368,1.368
2022-11,55.532,55.094,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,3.193,2.755,2.755,2.755,2.755
2020-06,71.83,71.729,3.587,3.587,3.587,3.587,3.587,3.587,3.587,3.587,3.587,3.589,3.587,3.587,3.587,3.587,3.587,3.682,3.586,3.586,3.586,3.586
2020-07,85.941,85.896,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.295,4.339,4.295,4.295,4.295,4.295
2020-08,89.032,88.98,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.5,4.449,4.449,4.449,4.449
