Month,Total NaN %,System Outage NaN %,MonoSi_Vin,MonoSi_Iin,MonoSi_Vout,MonoSi_Iout,PolySi_Vin,PolySi_Iin,PolySi_Vout,PolySi_Iout,TFSi_a_Vin,TFSi_a_Iin,TFSi_a_Vout,TFSi_a_Iout,TFcigs_Vin,TFcigs_Iin,TFcigs_Vout,TFcigs_Iout,TempF_Mono,TempF_Poly,TempF_Amor,TempF_Cigs
2020-04,0.023,0.005,0.0,0.005,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,0.054,0.025,0.001,0.01,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.009,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001
2022-07,0.072,0.043,0.002,0.009,0.002,0.002,0.002,0.007,0.002,0.002,0.002,0.011,0.002,0.002,0.002,0.01,0.002,0.002,0.002,0.002,0.002,0.002
2021-09,0.077,0.048,0.002,0.01,0.002,0.002,0.002,0.008,0.002,0.002,0.002,0.01,0.002,0.002,0.002,0.011,0.002,0.002,0.002,0.002,0.002,0.002
2022-01,0.077,0.048,0.002,0.01,0.002,0.002,0.002,0.007,0.002,0.002,0.002,0.011,0.002,0.002,0.002,0.011,0.002,0.002,0.002,0.002,0.002,0.002
2021-07,0.078,0.049,0.002,0.01,0.002,0.002,0.002,0.008,0.002,0.002,0.002,0.01,0.002,0.002,0.002,0.011,0.002,0.002,0.002,0.002,0.002,0.002
2021-10,0.091,0.061,0.003,0.011,0.003,0.003,0.003,0.009,0.003,0.003,0.003,0.012,0.003,0.003,0.003,0.011,0.003,0.003,0.003,0.003,0.003,0.003
2022-03,0.096,0.065,0.003,0.012,0.003,0.003,0.003,0.008,0.003,0.003,0.003,0.012,0.003,0.003,0.003,0.013,0.003,0.003,0.003,0.003,0.003,0.003
2021-02,0.1,0.071,0.004,0.011,0.004,0.004,0.004,0.009,0.004,0.004,0.004,0.012,0.004,0.004,0.004,0.012,0.004,0.004,0.004,0.004,0.004,0.004
2022-10,0.112,0.08,0.004,0.012,0.004,0.004,0.004,0.01,0.004,0.004,0.004,0.012,0.004,0.004,0.004,0.013,0.004,0.004,0.004,0.004,0.004,0.004
2022-02,0.117,0.087,0.004,0.012,0.004,0.004,0.004,0.01,0.004,0.004,0.004,0.014,0.004,0.004,0.004,0.013,0.004,0.004,0.004,0.004,0.004,0.004
2022-05,0.153,0.12,0.006,0.014,0.006,0.006,0.006,0.012,0.006,0.006,0.006,0.014,0.006,0.006,0.006,0.016,0.006,0.006,0.006,0.006,0.006,0.006
2022-08,0.155,0.117,0.006,0.013,0.006,0.006,0.006,0.013,0.006,0.006,0.006,0.017,0.006,0.006,0.006,0.017,0.006,0.006,0.006,0.006,0.006,0.006
2022-06,0.156,0.125,0.006,0.014,0.006,0.006,0.006,0.012,0.006,0.006,0.006,0.015,0.006,0.006,0.006,0.015,0.006,0.006,0.006,0.006,0.006,0.006
2022-04,0.178,0.149,0.007,0.015,0.007,0.007,0.007,0.013,0.007,0.007,0.007,0.016,0.007,0.007,0.007,0.016,0.007,0.007,0.007,0.007,0.007,0.007
2023-01,0.227,0.203,0.01,0.015,0.01,0.01,0.01,0.015,0.01,0.01,0.01,0.016,0.01,0.01,0.01,0.018,0.01,0.01,0.01,0.01,0.01,0.01
2023-02,0.36,0.33,0.017,0.024,0.017,0.017,0.017,0.022,0.017,0.017,0.017,0.025,0.017,0.017,0.017,0.024,0.017,0.017,0.017,0.017,0.017,0.017
2021-08,0.494,0.466,0.023,0.031,0.023,0.023,0.023,0.029,0.023,0.023,0.023,0.031,0.023,0.023,0.023,0.031,0.023,0.023,0.023,0.023,0.023,0.023
2021-05,0.54,0.51,0.026,0.033,0.026,0.026,0.026,0.031,0.026,0.026,0.026,0.033,0.026,0.026,0.026,0.035,0.026,0.026,0.026,0.026,0.026,0.026
2021-12,0.603,0.573,0.029,0.036,0.029,0.029,0.029,0.035,0.029,0.029,0.029,0.036,0.029,0.029,0.029,0.038,0.029,0.029,0.029,0.029,0.029,0.029
2019-10,1.043,0.822,0.041,0.114,0.041,0.041,0.041,0.113,0.041,0.041,0.041,0.116,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
2021-04,1.266,1.235,0.062,0.069,0.062,0.062,0.062,0.067,0.062,0.062,0.062,0.071,0.062,0.062,0.062,0.071,0.062,0.062,0.062,0.062,0.062,0.062
2021-03,1.486,1.457,0.073,0.081,0.073,0.073,0.073,0.078,0.073,0.073,0.073,0.081,0.073,0.073,0.073,0.081,0.073,0.073,0.073,0.073,0.073,0.073
2021-06,1.91,1.881,0.094,0.101,0.094,0.094,0.094,0.1,0.094,0.094,0.094,0.102,0.094,0.094,0.094,0.102,0.094,0.094,0.094,0.094,0.094,0.094
2022-12,3.425,3.403,0.17,0.176,0.17,0.17,0.17,0.174,0.17,0.17,0.17,0.176,0.17,0.17,0.17,0.176,0.17,0.17,0.17,0.17,0.17,0.17
2022-09,5.842,5.818,0.291,0.297,0.291,0.291,0.291,0.296,0.291,0.291,0.291,0.298,0.291,0.291,0.291,0.298,0.291,0.291,0.291,0.291,0.291,0.291
