location,Grigy,Grigy,Grigy,Grigy,Grigy,Grigy
lat,49.00000,49.00000,49.00000,49.00000,49.00000,49.00000
lon,6.25000,6.25000,6.25000,6.25000,6.25000,6.25000
asl,234.408,234.408,234.408,234.408,234.408,234.408
variable,Temperature,Wind Speed,Wind Direction,Cloud Cover Total,Direct Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,km/h,°,%,W/m²,W/m²
level,2 m elevation corrected,10 m,10 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Grigy Temperature [2 m elevation corrected],Grigy Wind Speed [10 m],Grigy Wind Direction [10 m],Grigy Cloud Cover Total,Grigy Direct Shortwave Radiation,Grigy Diffuse Shortwave Radiation
20190101T0000,6.3616548,5.495161,301.6075,97.0,0.0,0.0
20190101T0100,6.241655,5.3517847,289.6538,99.0,0.0,0.0
20190101T0200,6.181655,6.28713,283.2405,91.0,0.0,0.0
20190101T0300,5.8516545,6.9899354,281.88867,100.0,0.0,0.0
20190101T0400,5.5616546,8.654986,286.92752,100.0,0.0,0.0
20190101T0500,5.261655,9.227524,290.55603,100.0,0.0,0.0
20190101T0600,4.9116545,9.565437,289.7989,100.0,0.0,0.0
20190101T0700,4.7716546,9.3669195,272.2026,61.0,0.0,0.0
20190101T0800,4.6516547,10.105681,274.08563,73.0,0.0,0.0
20190101T0900,4.7516546,11.609651,277.125,77.0,0.0,0.0
20190101T1000,5.031655,13.004921,274.76364,97.0,0.0,2.0
20190101T1100,5.4116545,14.417988,272.8624,100.0,0.0,22.0
20190101T1200,5.9416547,13.004921,265.23636,100.0,0.0,43.0
20190101T1300,5.9416547,15.4800005,270.0,97.0,6.0,68.0
20190101T1400,5.991655,16.62249,287.65012,100.0,4.0,87.0
20190101T1500,6.1716547,13.910169,280.43747,100.0,10.0,86.0
20190101T1600,6.181655,13.441071,277.69604,97.0,1.0,61.0
20190101T1700,6.0416546,14.04,270.0,93.0,1.0,27.0
20190101T1800,5.8716545,15.226764,263.21103,98.0,0.0,4.0
